City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,conde,-7.2597,-34.9075,24.7,88,75,2.06,BR,1675725891
83,port hedland,-20.3167,118.5667,29.03,84,28,2.57,AU,1675725891
84,aksu,41.1231,80.2644,-3.91,80,97,1.1,CN,1675725891
85,saint-philippe,-21.3585,55.7679,24.77,86,88,4.75,RE,1675725892
86,high level,58.5169,-117.136,-12.94,78,40,3.6,CA,1675725892
87,paita,-5.0892,-81.1144,25.46,73,39,6.08,PE,1675725892
88,sumbe,-11.2061,13.8437,25.19,82,58,2.76,AO,1675725893
89,geraldton,-28.7667,114.6,20.23,77,100,3.6,AU,1675725893
90,tasiilaq,65.6145,-37.6368,-10.91,90,98,3.29,GL,1675725893
91,pangnirtung,66.1451,-65.7125,-29.0,69,20,9.77,CA,1675725381
92,aranos,-24.1333,19.1167,21.12,74,97,5.88,NA,1675725894
93,florida,28.7505,-82.5001,21.99,68,0,2.06,US,1675725602
94,yumen,40.2833,97.2,-4.32,49,84,1.34,CN,1675725894
95,mae sot,16.7167,98.5667,21.35,88,2,1.03,TH,1675725895
96,kavieng,-2.5744,150.7967,28.1,78,97,4.2,PG,1675725797
97,cape town,-33.9258,18.4232,21.62,88,59,3.58,ZA,1675725815
98,westlock,54.1502,-113.8688,1.79,82,99,5.42,CA,1675725896
99,general roca,-39.0333,-67.5833,30.9,19,20,1.86,AR,1675725889
100,clyde river,70.4692,-68.5914,-31.87,68,20,2.57,CA,1675725896
101,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,1675725896
102,halifax,44.6453,-63.5724,2.0,84,100,8.75,CA,1675725840
103,nanortalik,60.1432,-45.2371,-14.64,84,76,4.95,GL,1675725897
104,kapaa,22.0752,-159.319,27.18,81,40,5.14,US,1675725841
105,verkhnetulomskiy,68.6073,31.7962,-0.93,92,100,3.9,RU,1675725897
106,alofi,-19.0595,-169.9187,29.94,70,40,3.6,NU,1675725898
107,urumqi,43.801,87.6005,-9.47,93,100,1.0,CN,1675725898
108,saskylakh,71.9167,114.0833,-34.79,100,97,1.22,RU,1675725898
109,rudbar,30.15,62.6,13.4,25,29,4.16,AF,1675725899
110,chokurdakh,70.6333,147.9167,-32.89,100,100,0.72,RU,1675725899
111,san cristobal,7.7669,-72.225,25.1,65,63,1.19,VE,1675725899
112,igarka,67.4667,86.5833,-21.68,100,100,2.32,RU,1675725376
113,terney,45.0503,136.6092,-11.93,74,3,3.13,RU,1675725900
114,mildura,-34.2,142.15,22.26,60,0,6.06,AU,1675725644
115,cidreira,-30.1811,-50.2056,23.94,74,7,3.96,BR,1675725900
116,barrow,71.2906,-156.7887,-22.99,92,100,2.06,US,1675725901
117,cartagena,10.3997,-75.5144,27.79,69,20,3.6,CO,1675725901
118,carutapera,-1.195,-46.02,24.55,94,99,2.77,BR,1675725902
119,khandyga,62.6667,135.6,-40.6,100,100,0.32,RU,1675725903
120,kruisfontein,-34.0033,24.7314,20.76,92,79,2.75,ZA,1675725321
121,tilichiki,60.4667,166.1,-30.72,93,25,3.9,RU,1675725905
122,dryden,49.7833,-92.7503,1.16,69,100,8.23,CA,1675725906
123,bluff,-46.6,168.3333,14.38,82,91,13.78,NZ,1675725907
124,agirish,61.9247,63.0231,-25.84,100,97,1.64,RU,1675725908
125,selma,36.5708,-119.6121,12.8,82,20,3.09,US,1675725908
126,letnik,46.011,41.2657,-4.25,90,100,7.17,RU,1675725909
127,aklavik,68.2191,-135.0107,-34.0,68,40,1.03,CA,1675725735
128,cap malheureux,-19.9842,57.6142,25.26,82,79,0.89,MU,1675725910
129,caruray,10.3094,119.0128,25.33,89,90,3.05,PH,1675725810
130,yanam,16.7333,82.2167,17.5,95,99,0.51,IN,1675725911
131,oussouye,12.485,-16.5469,21.1,48,4,5.84,SN,1675725911
132,sao filipe,14.8961,-24.4956,20.25,62,16,7.91,CV,1675725832
133,vila velha,-20.3297,-40.2925,25.97,83,0,0.0,BR,1675725900
134,asau,46.4333,26.4,-5.4,92,73,2.18,RO,1675725913
135,tena,-0.9833,-77.8167,23.6,91,50,0.55,EC,1675725821
136,brodnica,53.2597,19.3965,-0.89,93,81,2.31,PL,1675725914
137,port alfred,-33.5906,26.891,22.32,94,100,0.45,ZA,1675725914
138,zlobin,45.2924,14.6541,-4.56,65,89,4.59,HR,1675725915
139,ulaanbaatar,47.9077,106.8832,-25.93,76,83,0.0,MN,1675725812
140,port lincoln,-34.7333,135.8667,19.25,74,0,6.91,AU,1675725915
141,moers,51.45,6.65,2.74,96,51,0.51,DE,1675725728
142,nemuro,43.3236,145.575,-4.23,88,100,5.13,JP,1675725916
143,beloha,-25.1667,45.05,22.85,86,100,4.69,MG,1675725916
144,thompson,55.7435,-97.8558,-12.91,78,75,5.66,CA,1675725917
145,dunedin,-45.8742,170.5036,22.67,44,9,4.47,NZ,1675725918
146,upernavik,72.7868,-56.1549,-22.88,95,100,3.12,GL,1675725918
147,sabang,5.8933,95.3214,26.87,75,92,3.35,ID,1675725332
148,bemidji,47.4736,-94.8803,2.16,81,75,5.14,US,1675725673
149,wenling,28.3669,121.36,11.9,93,100,3.72,CN,1675725920
150,lorengau,-2.0226,147.2712,25.05,94,100,4.84,PG,1675725921
151,vao,-22.6667,167.4833,25.79,70,34,6.65,NC,1675725921
152,praia da vitoria,38.7333,-27.0667,12.64,94,40,11.66,PT,1675725858
153,bengkulu,-3.8004,102.2655,24.01,84,87,2.89,ID,1675725882
154,coquimbo,-29.9533,-71.3436,18.85,82,75,3.6,CL,1675725922
155,ponta do sol,32.6667,-17.1,15.4,65,22,4.24,PT,1675725923
156,saint george,37.1041,-113.5841,11.33,36,75,4.47,US,1675725699
157,nelson bay,-32.7167,152.15,27.27,71,84,0.89,AU,1675725923
158,souillac,-20.5167,57.5167,24.21,94,75,3.09,MU,1675725924
159,puerto ayora,-0.7393,-90.3518,28.08,74,53,6.71,EC,1675725924
160,tutoia,-2.7619,-42.2744,26.13,83,100,4.63,BR,1675725821
161,stornoway,58.2093,-6.3865,8.98,94,75,10.8,GB,1675725925
162,atasu,48.6814,71.6433,-13.76,98,100,2.85,KZ,1675725925
163,ratnapura,6.6828,80.3992,22.62,96,93,1.1,LK,1675725926
164,pevek,69.7008,170.3133,-36.34,100,100,1.65,RU,1675725917
165,iqaluit,63.7506,-68.5145,-36.26,94,93,3.07,CA,1675725340
166,touros,-5.1989,-35.4608,26.3,80,7,5.84,BR,1675725336
167,banda aceh,5.5577,95.3222,25.17,83,98,1.47,ID,1675725737
168,gat,31.61,34.7642,11.38,100,91,11.7,IL,1675725385
169,mumford,5.2618,-0.759,26.23,89,56,5.76,GH,1675725928
170,sarahan,31.5167,77.8,-1.2,44,18,4.56,IN,1675725928
171,lanxi,29.2195,119.477,10.93,94,100,1.19,CN,1675725928
172,sobolevo,54.4299,31.8996,-4.94,97,100,1.87,RU,1675725929
173,lebu,-37.6167,-73.65,15.49,79,0,8.72,CL,1675725929
174,la ronge,55.1001,-105.2842,-8.86,62,75,7.72,CA,1675725930
175,paranaiba,-19.6772,-51.1908,24.24,84,96,1.36,BR,1675725930
176,kanniyakumari,8.0833,77.5667,24.21,74,100,3.97,IN,1675725822
177,columbus,39.9612,-82.9988,1.79,78,100,4.12,US,1675725649
178,acapulco,16.8634,-99.8901,28.9,61,0,3.6,MX,1675725750
179,muisne,0.6,-80.0333,26.19,81,32,3.6,EC,1675725931
180,catuday,16.2923,119.8062,24.75,78,90,3.55,PH,1675725931
181,babol,36.5513,52.679,5.04,54,73,0.76,IR,1675725931
182,san patricio,28.017,-97.5169,24.19,67,24,8.27,US,1675725932
183,cherskiy,68.75,161.3,-38.82,100,100,2.43,RU,1675725812
184,ancud,-41.8697,-73.8203,15.99,71,0,0.95,CL,1675725393
185,jutai,-5.1833,-68.9,23.56,97,56,0.48,BR,1675725933
186,sitka,57.0531,-135.33,2.94,87,100,2.06,US,1675725933
187,pisco,-13.7,-76.2167,25.03,83,0,8.23,PE,1675725933
188,aviemore,57.1955,-3.8259,6.93,89,100,4.09,GB,1675725934
189,hayden,47.766,-116.7866,5.9,83,100,4.12,US,1675725851
190,walvis bay,-22.9575,14.5053,18.53,88,67,4.63,NA,1675725934
191,grindavik,63.8424,-22.4338,0.26,74,75,11.32,IS,1675725399
192,pati,-6.7559,111.038,23.77,95,100,0.87,ID,1675725934
193,cascais,38.6979,-9.4215,12.2,63,32,6.26,PT,1675725935
194,mogadishu,2.0371,45.3438,24.77,85,60,8.3,SO,1675725638
195,kloulklubed,7.0419,134.2556,24.28,74,100,8.91,PW,1675725858
196,muros,42.7762,-9.0603,8.24,70,0,3.86,ES,1675725284
197,svetlyy,54.675,20.1347,2.03,89,64,3.4,RU,1675725936
198,seymchan,62.8833,152.4333,-34.35,98,98,0.74,RU,1675725936
199,joshimath,30.5667,79.5667,1.76,56,48,3.77,IN,1675725936
200,inta,66.0317,60.1659,-18.59,98,99,3.67,RU,1675725355
201,faanui,-16.4833,-151.75,27.32,76,9,7.21,PF,1675725871
202,marawi,7.9986,124.2928,20.01,89,100,0.43,PH,1675725937
203,hofn,64.2539,-15.2082,1.96,57,54,9.49,IS,1675725938
204,soissons,49.3333,3.3333,1.34,93,4,3.3,FR,1675725938
205,palu,-0.8917,119.8707,24.21,89,83,1.0,ID,1675725938
206,qaanaaq,77.484,-69.3632,-28.12,98,100,1.63,GL,1675725862
207,zheleznodorozhnyy,55.7503,38.0042,-4.9,100,95,1.22,RU,1675725939
208,christchurch,-43.5333,172.6333,28.56,43,11,5.14,NZ,1675725939
209,puerto colombia,10.9878,-74.9547,27.05,86,4,11.45,CO,1675725940
210,dikson,73.5069,80.5464,-30.64,100,100,2.47,RU,1675725724
211,galion,40.7337,-82.7899,0.65,82,58,2.67,US,1675725737
212,rincon,32.296,-81.2354,17.98,46,20,2.06,US,1675725940
213,nalut,30.3333,10.85,10.37,52,98,4.57,LY,1675725941
214,dingle,10.9995,122.6711,24.02,91,100,3.27,PH,1675725941
215,ilulissat,69.2167,-51.1,-18.99,78,100,3.6,GL,1675725941
216,salalah,17.0151,54.0924,22.05,60,20,1.03,OM,1675725351
217,saint anthony,45.0205,-93.218,2.36,84,100,4.63,US,1675725923
218,brooks,50.5834,-111.8851,5.99,65,30,2.06,CA,1675725902
219,superior,46.7208,-92.1041,1.84,80,100,6.17,US,1675725942
220,metro,-5.1131,105.3067,23.98,88,100,1.08,ID,1675725943
221,hami,42.8,93.45,0.51,42,100,0.97,CN,1675725943
222,butaritari,3.0707,172.7902,27.41,79,75,9.09,KI,1675725943
223,egvekinot,66.3167,-179.1667,-27.05,87,100,3.88,RU,1675725906
224,kattivakkam,13.2167,80.3167,24.05,78,3,0.46,IN,1675725944
225,evensk,61.95,159.2333,-28.92,76,55,4.44,RU,1675725944
226,sinegorye,62.0788,150.477,-35.86,100,98,0.21,RU,1675725944
227,karlskrona,56.1616,15.5866,-6.75,81,12,3.62,SE,1675725945
228,half moon bay,37.4636,-122.4286,17.12,52,0,6.69,US,1675725945
229,ribeira grande,38.5167,-28.7,13.76,73,87,9.39,PT,1675725945
230,mount gambier,-37.8333,140.7667,18.17,61,8,3.56,AU,1675725946
231,coihaique,-45.5752,-72.0662,16.97,45,20,4.63,CL,1675725396
232,twin falls,42.3505,-114.6445,2.94,65,75,10.8,US,1675725946
233,kutum,14.2,24.6667,16.81,18,49,4.1,SD,1675725819
234,viedma,-40.8135,-62.9967,21.37,39,31,6.88,AR,1675725884
235,bannu,32.9854,70.6027,11.88,59,0,1.23,PK,1675725947
236,alyangula,-13.8483,136.4192,28.93,61,65,0.85,AU,1675725947
237,tual,-5.6667,132.75,27.15,79,99,6.52,ID,1675725948
238,tanete,-3.9443,119.7848,24.51,90,91,0.95,ID,1675725948
239,mana,5.6592,-53.7767,24.17,90,24,5.22,GF,1675725948
240,hasaki,35.7333,140.8333,7.34,56,100,0.46,JP,1675725949
241,kathmandu,27.7167,85.3167,9.35,82,20,1.54,NP,1675725821
242,sayyan,15.1718,44.3244,12.51,33,95,0.72,YE,1675725949
243,ambulu,-8.345,113.6058,24.22,92,100,1.74,ID,1675725949
244,juneau,58.3019,-134.4197,2.9,94,100,3.6,US,1675725712
245,saldanha,-33.0117,17.9442,18.03,97,81,6.02,ZA,1675725359
246,lasa,46.6166,10.7002,-0.51,97,96,2.33,IT,1675725950
247,aldan,58.6031,125.3894,-39.95,95,52,1.77,RU,1675725950
248,muncar,-8.4333,114.3333,24.24,91,100,2.47,ID,1675725951
249,ambon,-3.6954,128.1814,27.08,83,40,4.63,ID,1675725699
250,abu samrah,35.3029,37.1841,6.05,80,76,11.61,SY,1675725898
251,tillicoultry,56.1525,-3.7402,7.92,88,100,2.24,GB,1675725951
252,mala,-12.6581,-76.6308,23.87,80,44,2.24,PE,1675725952
253,altamira,-3.2033,-52.2064,24.47,86,78,1.11,BR,1675725955
254,sur,22.5667,59.5289,21.14,62,60,1.42,OM,1675725393
255,norman wells,65.282,-126.8329,-24.98,77,75,1.54,CA,1675725956
256,belmonte,-15.8631,-38.8828,26.02,83,0,4.32,BR,1675725956
257,batsfjord,70.6345,29.7185,4.96,86,20,13.38,NO,1675725956
258,mount isa,-20.7333,139.5,24.87,94,100,5.66,AU,1675725957
259,kirakira,-10.4544,161.9205,27.96,81,100,4.8,SB,1675725833
260,kungurtug,50.5994,97.5228,-26.5,99,52,0.84,RU,1675725957
261,saint-joseph,-21.3667,55.6167,24.21,84,79,4.82,RE,1675725678
262,vila franca do campo,37.7167,-25.4333,13.23,93,100,6.28,PT,1675725394
263,mehamn,71.0357,27.8492,4.95,81,75,10.8,NO,1675725958
264,mwene-ditu,-7.0,23.45,17.94,93,75,1.17,CD,1675725958
265,agadez,19.75,10.25,16.75,19,63,2.16,NE,1675725958
266,maningrida,-12.0667,134.2667,27.64,74,44,2.16,AU,1675725959
267,butembo,0.15,29.2833,18.33,49,98,1.01,CD,1675725959
268,kondinskoye,59.6481,67.41,-20.45,99,96,2.93,RU,1675725960
269,buchanan,5.8808,-10.0467,25.79,87,29,2.26,LR,1675725960
270,ruidoso,33.3317,-105.673,13.31,12,0,10.8,US,1675725960
271,cluses,46.0625,6.575,1.85,90,99,0.5,FR,1675725961
272,wote,-1.7808,37.6288,17.18,61,76,0.99,KE,1675725961
273,hovd,48.0056,91.6419,-17.64,87,7,0.92,MN,1675725961
274,mareeba,-17.0,145.4333,28.6,80,75,0.89,AU,1675725962
275,lompoc,34.6391,-120.4579,18.72,53,20,9.26,US,1675725963
276,namibe,-15.1961,12.1522,21.48,78,76,2.37,AO,1675725963
277,angoche,-16.2325,39.9086,25.41,88,98,2.71,MZ,1675725964
278,kolondieba,11.0882,-6.8926,27.3,15,100,1.12,ML,1675725964
279,lazaro cardenas,17.9583,-102.2,27.4,61,0,4.73,MX,1675725965
280,guerrero negro,27.9769,-114.0611,17.99,50,98,9.1,MX,1675725732
281,aras,42.5617,-2.356,-1.76,86,0,1.54,ES,1675725966
282,nichinan,31.6,131.3667,9.82,92,100,6.29,JP,1675725966
283,faya,18.3851,42.4509,12.29,55,90,1.68,SA,1675725967
284,san juan,-31.5375,-68.5364,34.51,14,17,6.35,AR,1675725914
285,verkhoyansk,67.5447,133.385,-47.1,100,93,0.65,RU,1675725968
286,vitim,59.4511,112.5578,-19.89,99,100,0.5,RU,1675725968
287,manono,-7.3,27.4167,19.92,95,87,0.72,CD,1675725969
288,constitucion,-35.3333,-72.4167,18.43,70,22,5.64,CL,1675725848
289,biltine,14.5333,20.9167,22.63,14,90,4.84,TD,1675725970
290,san pedro,14.35,121.0167,25.57,85,40,0.51,PH,1675725971
291,saint-francois,46.4154,3.9054,2.69,77,100,4.63,FR,1675725972
292,bilibino,68.0546,166.4372,-37.74,100,99,0.41,RU,1675725973
293,palmeiras de goias,-16.805,-49.9258,21.79,89,66,1.33,BR,1675725974
294,strezhevoy,60.7333,77.5889,-18.78,99,100,0.79,RU,1675725976
295,deputatskiy,69.3,139.9,-34.95,98,100,1.83,RU,1675725977
296,magadan,59.5667,150.8,-26.81,78,66,3.5,RU,1675725979
297,poum,-20.2333,164.0167,27.45,81,94,6.81,NC,1675725979
298,takoradi,4.8845,-1.7554,26.38,87,86,5.04,GH,1675725403
299,nynashamn,58.9034,17.9479,-1.58,85,35,3.66,SE,1675725980
300,yoichi,43.2039,140.7703,-3.37,69,83,3.61,JP,1675725981
301,huarmey,-10.0681,-78.1522,23.81,78,53,3.91,PE,1675725982
302,tytuvenai,55.6,23.2,-1.05,96,37,2.86,LT,1675725983
303,yuzhno-sukhokumsk,44.6581,45.6436,-2.27,94,100,6.01,RU,1675725983
304,ketchikan,55.3422,-131.6461,7.26,57,100,0.0,US,1675725984
305,severo-kurilsk,50.6789,156.125,-4.5,77,100,12.25,RU,1675725984
306,kodiak,57.79,-152.4072,2.73,60,0,4.12,US,1675725856
307,tamiahua,21.2667,-97.45,23.1,81,63,4.97,MX,1675725985
308,bonavista,48.6499,-53.1147,-3.83,94,100,6.58,CA,1675725986
309,miri,4.4148,114.0089,23.08,100,40,2.06,MY,1675725987
310,bethel,41.3712,-73.414,5.81,68,20,4.63,US,1675725825
311,kayasula,44.325,45.0,-2.66,96,100,4.04,RU,1675725988
312,lima,-12.0432,-77.0282,24.14,69,0,6.69,PE,1675725989
313,hambantota,6.1241,81.1185,24.24,87,95,4.08,LK,1675725986
314,bubaque,11.2833,-15.8333,24.61,64,4,9.84,GW,1675725989
315,rumoi,43.9344,141.6428,-3.86,73,100,3.04,JP,1675725929
316,kysyl-syr,63.8986,122.7617,-40.83,100,97,0.55,RU,1675725990
317,yuncheng,35.0231,110.9928,3.3,67,100,1.14,CN,1675725990
318,seoul,37.5683,126.9778,-2.31,97,40,1.54,KR,1675725991
319,brodick,55.5754,-5.1472,8.39,85,100,6.69,GB,1675725991
320,vardo,70.3705,31.1107,0.99,86,100,13.38,NO,1675725989
321,wanning,18.8003,110.3967,21.71,92,19,1.29,CN,1675725992
322,korgen,66.0771,13.8153,7.07,100,100,4.28,NO,1675725743
323,caravelas,-17.7125,-39.2481,25.58,81,0,4.06,BR,1675725984
324,rocha,-34.4833,-54.3333,20.99,91,3,2.31,UY,1675725992
325,paralimni,35.0375,33.9833,6.49,70,51,9.58,CY,1675725993
326,cabrobo,-8.5142,-39.31,29.0,51,100,7.47,BR,1675725993
327,billings,45.7833,-108.5007,8.42,43,20,7.2,US,1675725953
328,sibolga,1.7427,98.7792,24.13,84,100,1.52,ID,1675725993
329,gasa,31.5,34.4667,8.82,72,99,15.78,PS,1675725913
330,darhan,49.4867,105.9228,-23.94,97,9,2.54,MN,1675725742
331,college,64.8569,-147.8028,-12.17,88,75,0.0,US,1675725994
332,puerto escondido,15.85,-97.0667,27.46,65,75,0.0,MX,1675725844
333,jaguaruna,-28.615,-49.0256,22.71,83,72,0.34,BR,1675725995
334,sao miguel do araguaia,-13.275,-50.1628,24.27,84,98,2.01,BR,1675725995
335,pangai,-19.8,-174.35,27.06,74,75,4.63,TO,1675725995
336,te anau,-45.4167,167.7167,14.22,92,99,3.32,NZ,1675725996
337,buala,-8.145,159.5921,27.92,77,90,4.1,SB,1675725915
338,westport,41.1415,-73.3579,6.9,65,75,6.17,US,1675725996
339,rio grande,-32.035,-52.0986,25.06,73,1,4.74,BR,1675725997
340,aden,12.7794,45.0367,23.85,68,41,5.12,YE,1675725997
341,zhigansk,66.7697,123.3711,-48.45,100,72,1.03,RU,1675725959
342,antofagasta,-23.65,-70.4,21.6,80,29,2.38,CL,1675725997
343,fortuna,40.5982,-124.1573,11.63,67,0,6.17,US,1675725998
344,richards bay,-28.783,32.0377,22.27,94,0,1.9,ZA,1675725939
345,birjand,32.8663,59.2211,8.26,42,75,5.14,IR,1675725999
346,churapcha,62.0025,132.4325,-39.11,99,100,1.53,RU,1675725999
347,tefe,-3.3542,-64.7114,24.06,94,75,1.03,BR,1675726000
348,waipawa,-41.4122,175.5153,21.71,57,7,2.25,NZ,1675725789
349,aripuana,-9.1667,-60.6333,23.09,92,46,1.39,BR,1675726000
350,omachi,36.5,137.8667,0.59,77,96,0.66,JP,1675726001
351,matagami,49.7502,-77.6328,-12.94,72,0,4.12,CA,1675726001
352,vilyuysk,63.7553,121.6247,-40.84,100,96,0.61,RU,1675726001
353,charleston,32.7766,-79.9309,16.1,64,0,3.09,US,1675726002
354,ballangen,68.3428,16.8315,8.12,81,100,10.29,NO,1675726002
355,yar-sale,66.8333,70.8333,-21.95,99,92,2.55,RU,1675726002
356,contamana,-7.3333,-75.0167,25.24,88,76,1.06,PE,1675726003
357,vanavara,60.34,102.2797,-28.98,100,100,1.25,RU,1675726003
358,archidona,37.0965,-4.3887,9.31,94,35,2.72,ES,1675726004
359,portland,45.5234,-122.6762,10.6,83,100,4.02,US,1675725897
360,oudtshoorn,-33.5907,22.2014,20.2,87,65,0.94,ZA,1675726004
361,tynda,55.1667,124.7167,-42.0,99,40,1.18,RU,1675726005
362,bathsheba,13.2167,-59.5167,26.34,69,20,7.72,BB,1675726005
363,marzuq,14.4,46.4667,16.73,34,33,2.34,YE,1675726006
364,kulhudhuffushi,6.6221,73.07,26.74,76,100,4.72,MV,1675725949
365,edd,13.9297,41.6925,26.97,46,83,6.54,ER,1675726006
366,shahreza,32.0339,51.8794,4.06,74,69,3.38,IR,1675726007
367,zhezkazgan,47.8043,67.7144,-21.85,100,55,1.89,KZ,1675726007
